City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iwanai,42.9744,140.5089,70.99,92,4,4.41,JP,Fri Aug 11 15:55:25 2023
1,el bauga,18.262,33.9081,97.95,24,23,5.66,SD,Fri Aug 11 15:55:25 2023
2,olonkinbyen,70.9221,-8.7187,44.83,99,100,5.19,SJ,Fri Aug 11 15:55:26 2023
3,adamstown,-25.066,-130.1015,65.61,51,11,19.42,PN,Fri Aug 11 15:55:26 2023
4,sosnovka,56.255,51.2842,62.26,66,2,1.28,RU,Fri Aug 11 15:55:27 2023
5,sparti,37.0733,22.4297,70.95,70,90,1.43,GR,Fri Aug 11 15:55:27 2023
6,udachny,66.4167,112.4,59.45,71,100,5.21,RU,Fri Aug 11 15:55:27 2023
7,invercargill,-46.4,168.35,40.01,91,100,1.01,NZ,Fri Aug 11 15:55:28 2023
8,abbeville,50.1,1.8333,71.49,97,97,8.19,FR,Fri Aug 11 15:48:44 2023
9,waitangi,-43.9535,-176.5597,53.82,95,99,5.01,NZ,Fri Aug 11 15:55:28 2023
10,fale old settlement,-9.3852,-171.2468,82.49,67,20,13.09,TK,Fri Aug 11 15:55:28 2023
11,puerto natales,-51.7236,-72.4875,35.92,77,4,6.85,CL,Fri Aug 11 15:55:29 2023
12,thompson,55.7435,-97.8558,69.96,43,75,6.91,CA,Fri Aug 11 15:55:29 2023
13,kodiak,57.79,-152.4072,56.71,82,100,4.61,US,Fri Aug 11 15:54:48 2023
14,piacabucu,-10.4056,-36.4344,73.33,86,17,10.71,BR,Fri Aug 11 15:55:29 2023
15,ushuaia,-54.8,-68.3,37.06,60,20,6.91,AR,Fri Aug 11 15:55:30 2023
16,razdol'noye,45.7708,33.4878,70.74,80,0,7.23,UA,Fri Aug 11 15:55:30 2023
17,fangshan,39.6983,115.9925,74.21,96,100,2.57,CN,Fri Aug 11 15:55:30 2023
18,burao,9.5221,45.5336,75.6,50,43,20.04,SO,Fri Aug 11 15:55:31 2023
19,plainview,40.7765,-73.4673,88.0,50,20,9.22,US,Fri Aug 11 15:55:31 2023
20,port-aux-francais,-49.35,70.2167,37.17,85,54,37.8,TF,Fri Aug 11 15:55:31 2023
21,punta arenas,-53.15,-70.9167,38.84,72,43,15.61,CL,Fri Aug 11 15:55:00 2023
22,new norfolk,-42.7826,147.0587,46.71,88,94,6.38,AU,Fri Aug 11 15:55:32 2023
23,kununurra,-15.7667,128.7333,58.98,82,93,0.0,AU,Fri Aug 11 15:53:12 2023
24,arpacay,40.8487,43.3291,76.24,57,93,2.53,TR,Fri Aug 11 15:55:33 2023
25,vikulovo,56.8167,70.6107,48.36,75,33,10.38,RU,Fri Aug 11 15:55:33 2023
26,sitka,57.0531,-135.33,58.89,88,100,8.05,US,Fri Aug 11 15:55:34 2023
27,margaret river,-33.95,115.0667,51.4,80,99,8.55,AU,Fri Aug 11 15:55:34 2023
28,albany,42.6001,-73.9662,79.79,52,28,1.01,US,Fri Aug 11 15:55:28 2023
29,fortuna,40.5982,-124.1573,75.92,72,20,14.97,US,Fri Aug 11 15:55:34 2023
30,mao,39.8885,4.2658,75.76,88,0,8.05,ES,Fri Aug 11 15:55:35 2023
31,blackmans bay,-43.0167,147.3167,45.52,95,98,7.76,AU,Fri Aug 11 15:55:35 2023
32,tura,25.5198,90.2201,74.95,98,100,5.26,IN,Fri Aug 11 15:55:35 2023
33,sathupalli,17.2497,80.869,78.78,81,100,3.83,IN,Fri Aug 11 15:55:35 2023
34,geraldton,-28.7667,114.6,46.81,100,75,5.75,AU,Fri Aug 11 15:55:36 2023
35,hassi messaoud,31.6804,6.0729,94.86,15,0,4.61,DZ,Fri Aug 11 15:55:36 2023
36,sharm el-sheikh,27.8518,34.305,95.14,36,0,13.8,EG,Fri Aug 11 15:55:36 2023
37,saint-pierre,-21.3393,55.4781,71.28,73,100,3.44,RE,Fri Aug 11 15:55:37 2023
38,polyarnyy,69.1989,33.4478,62.4,64,91,5.44,RU,Fri Aug 11 15:55:37 2023
39,atafu village,-8.5421,-172.5159,82.9,62,41,12.33,TK,Fri Aug 11 15:55:37 2023
