City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mhamid,29.82,-5.72,108.05,9,5,7.34,MA,Sat Aug 19 11:12:09 2023
1,san antonio de pale,-1.4014,5.6325,73.4,81,90,10.76,GQ,Sat Aug 19 11:12:10 2023
2,kenai,60.5544,-151.2583,49.08,93,0,4.61,US,Sat Aug 19 11:12:11 2023
3,kristiansund,63.1115,7.732,77.65,38,1,9.22,NO,Sat Aug 19 11:12:11 2023
4,gloucester point,37.254,-76.4969,82.29,45,0,6.91,US,Sat Aug 19 11:12:12 2023
5,beledweyne,4.7358,45.2036,91.69,27,98,10.71,SO,Sat Aug 19 11:10:38 2023
6,lihue,21.9789,-159.3672,74.79,83,75,4.61,US,Sat Aug 19 11:08:58 2023
7,robertsport,6.7533,-11.3686,79.52,80,87,9.91,LR,Sat Aug 19 11:12:13 2023
8,lebu,-37.6167,-73.65,54.57,94,100,14.16,CL,Sat Aug 19 11:12:14 2023
9,christchurch,-43.5333,172.6333,50.95,76,20,5.75,NZ,Sat Aug 19 11:12:14 2023
10,new norfolk,-42.7826,147.0587,53.92,72,99,7.58,AU,Sat Aug 19 11:12:14 2023
11,san fernando,15.0286,120.6898,80.33,86,13,3.83,PH,Sat Aug 19 11:09:57 2023
12,waitangi,-43.9535,-176.5597,52.83,95,100,1.01,NZ,Sat Aug 19 11:12:15 2023
13,wailua homesteads,22.0669,-159.378,74.19,82,75,4.61,US,Sat Aug 19 11:12:16 2023
14,constantia,44.1833,28.65,84.88,62,89,11.21,RO,Sat Aug 19 11:12:17 2023
15,sur,22.5667,59.5289,87.48,60,84,11.43,OM,Sat Aug 19 11:12:17 2023
16,port-aux-francais,-49.35,70.2167,37.35,70,100,11.63,TF,Sat Aug 19 11:12:18 2023
17,coquimbo,-29.9533,-71.3436,67.73,48,0,8.05,CL,Sat Aug 19 11:09:36 2023
18,cartagena,10.3997,-75.5144,91.02,70,40,4.61,CO,Sat Aug 19 11:12:18 2023
